"scenario","area","period","age","education","rate","age_group","p","period_min","period_max"
"SSP2","Zambia","2015-2020","15--19",1,144,4,0.144,2015,2020
"SSP2","Zambia","2020-2025","15--19",1,131,4,0.131,2020,2025
"SSP2","Zambia","2025-2030","15--19",1,116,4,0.116,2025,2030
"SSP2","Zambia","2030-2035","15--19",1,99,4,0.099,2030,2035
"SSP2","Zambia","2035-2040","15--19",1,83,4,0.083,2035,2040
"SSP2","Zambia","2040-2045","15--19",1,70,4,0.07,2040,2045
"SSP2","Zambia","2045-2050","15--19",1,58,4,0.058,2045,2050
"SSP2","Zambia","2050-2055","15--19",1,49,4,0.049,2050,2055
"SSP2","Zambia","2055-2060","15--19",1,42,4,0.042,2055,2060
"SSP2","Zambia","2060-2065","15--19",1,37,4,0.037,2060,2065
"SSP2","Zambia","2065-2070","15--19",1,33,4,0.033,2065,2070
"SSP2","Zambia","2075-2080","15--19",1,27,4,0.027,2075,2080
"SSP2","Zambia","2015-2020","20--24",1,402,5,0.402,2015,2020
"SSP2","Zambia","2020-2025","20--24",1,397,5,0.397,2020,2025
"SSP2","Zambia","2025-2030","20--24",1,393,5,0.393,2025,2030
"SSP2","Zambia","2030-2035","20--24",1,374,5,0.374,2030,2035
"SSP2","Zambia","2035-2040","20--24",1,349,5,0.349,2035,2040
"SSP2","Zambia","2040-2045","20--24",1,319,5,0.319,2040,2045
"SSP2","Zambia","2045-2050","20--24",1,290,5,0.29,2045,2050
"SSP2","Zambia","2050-2055","20--24",1,264,5,0.264,2050,2055
"SSP2","Zambia","2055-2060","20--24",1,241,5,0.241,2055,2060
"SSP2","Zambia","2060-2065","20--24",1,223,5,0.223,2060,2065
"SSP2","Zambia","2065-2070","20--24",1,210,5,0.21,2065,2070
"SSP2","Zambia","2075-2080","20--24",1,188,5,0.188,2075,2080
"SSP2","Zambia","2015-2020","25--29",1,368,6,0.368,2015,2020
"SSP2","Zambia","2020-2025","25--29",1,355,6,0.355,2020,2025
"SSP2","Zambia","2025-2030","25--29",1,349,6,0.349,2025,2030
"SSP2","Zambia","2030-2035","25--29",1,327,6,0.327,2030,2035
"SSP2","Zambia","2035-2040","25--29",1,299,6,0.299,2035,2040
"SSP2","Zambia","2040-2045","25--29",1,269,6,0.269,2040,2045
"SSP2","Zambia","2045-2050","25--29",1,239,6,0.239,2045,2050
"SSP2","Zambia","2050-2055","25--29",1,213,6,0.213,2050,2055
"SSP2","Zambia","2055-2060","25--29",1,191,6,0.191,2055,2060
"SSP2","Zambia","2060-2065","25--29",1,175,6,0.175,2060,2065
"SSP2","Zambia","2065-2070","25--29",1,163,6,0.163,2065,2070
"SSP2","Zambia","2075-2080","25--29",1,146,6,0.146,2075,2080
"SSP2","Zambia","2015-2020","30--34",1,257,7,0.257,2015,2020
"SSP2","Zambia","2020-2025","30--34",1,246,7,0.246,2020,2025
"SSP2","Zambia","2025-2030","30--34",1,212,7,0.212,2025,2030
"SSP2","Zambia","2030-2035","30--34",1,189,7,0.189,2030,2035
"SSP2","Zambia","2035-2040","30--34",1,164,7,0.164,2035,2040
"SSP2","Zambia","2040-2045","30--34",1,141,7,0.141,2040,2045
"SSP2","Zambia","2045-2050","30--34",1,121,7,0.121,2045,2050
"SSP2","Zambia","2050-2055","30--34",1,104,7,0.104,2050,2055
"SSP2","Zambia","2055-2060","30--34",1,91,7,0.091,2055,2060
"SSP2","Zambia","2060-2065","30--34",1,82,7,0.082,2060,2065
"SSP2","Zambia","2065-2070","30--34",1,76,7,0.076,2065,2070
"SSP2","Zambia","2075-2080","30--34",1,68,7,0.068,2075,2080
"SSP2","Zambia","2015-2020","35--39",1,168,8,0.168,2015,2020
"SSP2","Zambia","2020-2025","35--39",1,147,8,0.147,2020,2025
"SSP2","Zambia","2025-2030","35--39",1,128,8,0.128,2025,2030
"SSP2","Zambia","2030-2035","35--39",1,112,8,0.112,2030,2035
"SSP2","Zambia","2035-2040","35--39",1,95,8,0.095,2035,2040
"SSP2","Zambia","2040-2045","35--39",1,80,8,0.08,2040,2045
"SSP2","Zambia","2045-2050","35--39",1,67,8,0.067,2045,2050
"SSP2","Zambia","2050-2055","35--39",1,57,8,0.057,2050,2055
"SSP2","Zambia","2055-2060","35--39",1,49,8,0.049,2055,2060
