"scenario","area","year","age_x","sex","age_group","t_1","t_2","t_3","t_4","t_5","t_6","age_y","tplus5_1","tplus5_2","tplus5_3","tplus5_4","tplus5_5","tplus5_6","year_tplus5","age_tplus5","pe6","pe5","pe4"
"SSP2","Zambia",2015,"15--19",1,4,0.059,0.217,0.279,0.349,0.096,0,"15--19",0.043,0.151,0.226,0.435,0.145,0,2020,5,0,0.140401146131805,0.483870967741936
"SSP2","Zambia",2020,"15--19",1,4,0.043,0.151,0.226,0.435,0.145,0,"15--19",0.028,0.085,0.174,0.521,0.193,0,2025,5,0,0.110344827586207,0.592920353982301
"SSP2","Zambia",2025,"15--19",1,4,0.028,0.085,0.174,0.521,0.193,0,"15--19",0.021,0.065,0.161,0.543,0.21,0,2030,5,0,0.0326295585412668,0.224137931034482
"SSP2","Zambia",2030,"15--19",1,4,0.021,0.065,0.161,0.543,0.21,0,"15--19",0.015,0.05,0.146,0.561,0.228,0,2035,5,0,0.0331491712707183,0.223602484472051
"SSP2","Zambia",2035,"15--19",1,4,0.015,0.05,0.146,0.561,0.228,0,"15--19",0.01,0.039,0.127,0.575,0.249,0,2040,5,0,0.0374331550802139,0.239726027397259
"SSP2","Zambia",2040,"15--19",1,4,0.01,0.039,0.127,0.575,0.249,0,"15--19",0.008,0.028,0.111,0.588,0.265,0,2045,5,0,0.0278260869565218,0.228346456692914
"SSP2","Zambia",2045,"15--19",1,4,0.008,0.028,0.111,0.588,0.265,0,"15--19",0.005,0.021,0.095,0.601,0.278,0,2050,5,0,0.022108843537415,0.234234234234234
"SSP2","Zambia",2050,"15--19",1,4,0.005,0.021,0.095,0.601,0.278,0,"15--19",0.003,0.015,0.081,0.606,0.295,0,2055,5,0,0.0282861896838602,0.231578947368421
"SSP2","Zambia",2055,"15--19",1,4,0.003,0.015,0.081,0.606,0.295,0,"15--19",0.002,0.011,0.066,0.613,0.308,0,2060,5,0,0.0214521452145215,0.246913580246914
"SSP2","Zambia",2060,"15--19",1,4,0.002,0.011,0.066,0.613,0.308,0,"15--19",0.001,0.007,0.052,0.617,0.323,0,2065,5,0,0.0244698205546492,0.287878787878786
"SSP2","Zambia",2065,"15--19",1,4,0.001,0.007,0.052,0.617,0.323,0,"15--19",0.001,0.005,0.042,0.616,0.336,0,2070,5,0,0.0210696920583469,0.230769230769233
"SSP2","Zambia",2070,"15--19",1,4,0.001,0.005,0.042,0.616,0.336,0,"15--19",0.001,0.003,0.033,0.616,0.347,0,2075,5,0,0.0178571428571429,0.261904761904762
"SSP2","Zambia",2015,"20--24",1,5,0.075,0.141,0.213,0.255,0.232,0.085,"20--24",0.056,0.12,0.203,0.241,0.264,0.116,2020,6,0.133620689655172,0.247058823529412,0.230046948356808
"SSP2","Zambia",2020,"20--24",1,5,0.056,0.12,0.203,0.241,0.264,0.116,"20--24",0.037,0.1,0.192,0.228,0.297,0.147,2025,6,0.117424242424242,0.265560165975104,0.251231527093596
"SSP2","Zambia",2025,"20--24",1,5,0.037,0.1,0.192,0.228,0.297,0.147,"20--24",0.028,0.085,0.174,0.231,0.323,0.16,2030,6,0.0437710437710438,0.171052631578947,0.21875
"SSP2","Zambia",2030,"20--24",1,5,0.028,0.085,0.174,0.231,0.323,0.16,"20--24",0.021,0.065,0.161,0.229,0.352,0.172,2035,6,0.0371517027863777,0.177489177489178,0.224137931034483
"SSP2","Zambia",2035,"20--24",1,5,0.021,0.065,0.161,0.229,0.352,0.172,"20--24",0.015,0.05,0.146,0.219,0.383,0.187,2040,6,0.0426136363636364,0.200873362445415,0.223602484472049
"SSP2","Zambia",2040,"20--24",1,5,0.015,0.05,0.146,0.219,0.383,0.187,"20--24",0.01,0.039,0.127,0.201,0.422,0.201,2045,6,0.0365535248041776,0.242009132420092,0.239726027397261
"SSP2","Zambia",2045,"20--24",1,5,0.01,0.039,0.127,0.201,0.422,0.201,"20--24",0.008,0.028,0.111,0.191,0.446,0.217,2050,6,0.0379146919431279,0.199004975124378,0.236220472440944
"SSP2","Zambia",2050,"20--24",1,5,0.008,0.028,0.111,0.191,0.446,0.217,"20--24",0.005,0.021,0.095,0.183,0.463,0.233,2055,6,0.0358744394618834,0.172774869109947,0.225225225225225
"SSP2","Zambia",2055,"20--24",1,5,0.005,0.021,0.095,0.183,0.463,0.233,"20--24",0.003,0.015,0.081,0.163,0.489,0.25,2060,6,0.0367170626349892,0.234972677595629,0.242105263157895
"SSP2","Zambia",2060,"20--24",1,5,0.003,0.015,0.081,0.163,0.489,0.25,"20--24",0.002,0.011,0.066,0.152,0.506,0.263,2065,6,0.0265848670756646,0.184049079754601,0.234567901234568
"SSP2","Zambia",2065,"20--24",1,5,0.002,0.011,0.066,0.152,0.506,0.263,"20--24",0.001,0.007,0.052,0.131,0.528,0.281,2070,6,0.0355731225296443,0.263157894736842,0.287878787878789
"SSP2","Zambia",2070,"20--24",1,5,0.001,0.007,0.052,0.131,0.528,0.281,"20--24",0.001,0.005,0.042,0.111,0.545,0.296,2075,6,0.0284090909090909,0.244274809160306,0.230769230769231
"SSP2","Zambia",2015,"25--29",1,6,0.088,0.151,0.204,0.216,0.192,0.149,"25--29",0.067,0.133,0.203,0.224,0.198,0.174,2020,7,0.130208333333333,0.143518518518518,0.191176470588235
"SSP2","Zambia",2020,"25--29",1,6,0.067,0.133,0.203,0.224,0.198,0.174,"25--29",0.046,0.117,0.205,0.231,0.203,0.199,2025,7,0.126262626262626,0.133928571428571,0.182266009852217
"SSP2","Zambia",2025,"25--29",1,6,0.046,0.117,0.205,0.231,0.203,0.199,"25--29",0.037,0.1,0.191,0.227,0.235,0.21,2030,7,0.0541871921182266,0.186147186147186,0.190243902439024
"SSP2","Zambia",2030,"25--29",1,6,0.037,0.1,0.191,0.227,0.235,0.21,"25--29",0.028,0.085,0.174,0.231,0.255,0.228,2035,7,0.0765957446808511,0.167400881057269,0.219895287958116
"SSP2","Zambia",2035,"25--29",1,6,0.028,0.085,0.174,0.231,0.255,0.228,"25--29",0.021,0.065,0.161,0.229,0.28,0.245,2040,7,0.0666666666666666,0.181818181818182,0.229885057471264
"SSP2","Zambia",2040,"25--29",1,6,0.021,0.065,0.161,0.229,0.28,0.245,"25--29",0.015,0.05,0.146,0.219,0.303,0.267,2045,7,0.0785714285714286,0.196506550218341,0.217391304347826
"SSP2","Zambia",2045,"25--29",1,6,0.015,0.05,0.146,0.219,0.303,0.267,"25--29",0.01,0.039,0.127,0.201,0.336,0.287,2050,7,0.0660066006600659,0.242009132420091,0.239726027397261
"SSP2","Zambia",2050,"25--29",1,6,0.01,0.039,0.127,0.201,0.336,0.287,"25--29",0.008,0.028,0.111,0.191,0.353,0.309,2055,7,0.0654761904761905,0.194029850746269,0.228346456692913
"SSP2","Zambia",2055,"25--29",1,6,0.008,0.028,0.111,0.191,0.353,0.309,"25--29",0.005,0.021,0.095,0.183,0.363,0.334,2060,7,0.0708215297450424,0.183246073298429,0.243243243243243
"SSP2","Zambia",2060,"25--29",1,6,0.005,0.021,0.095,0.183,0.363,0.334,"25--29",0.003,0.015,0.081,0.163,0.382,0.357,2065,7,0.0633608815426999,0.229508196721312,0.231578947368422
"SSP2","Zambia",2065,"25--29",1,6,0.003,0.015,0.081,0.163,0.382,0.357,"25--29",0.002,0.011,0.066,0.152,0.394,0.376,2070,7,0.0497382198952879,0.190184049079754,0.246913580246912
"SSP2","Zambia",2070,"25--29",1,6,0.002,0.011,0.066,0.152,0.394,0.376,"25--29",0.001,0.007,0.052,0.131,0.408,0.401,2075,7,0.0634517766497463,0.256578947368421,0.272727272727273
"SSP2","Zambia",2015,"15--19",2,4,0.072,0.205,0.279,0.35,0.094,0,"15--19",0.048,0.148,0.233,0.438,0.133,0,2020,5,0,0.111428571428571,0.455197132616487
"SSP2","Zambia",2020,"15--19",2,4,0.048,0.148,0.233,0.438,0.133,0,"15--19",0.024,0.091,0.188,0.526,0.171,0,2025,5,0,0.0867579908675799,0.540772532188842
"SSP2","Zambia",2025,"15--19",2,4,0.024,0.091,0.188,0.526,0.171,0,"15--19",0.016,0.067,0.17,0.558,0.189,0,2030,5,0,0.0342205323193916,0.26595744680851
"SSP2","Zambia",2030,"15--19",2,4,0.016,0.067,0.17,0.558,0.189,0,"15--19",0.011,0.05,0.152,0.579,0.208,0,2035,5,0,0.0340501792114696,0.235294117647059
"SSP2","Zambia",2035,"15--19",2,4,0.011,0.05,0.152,0.579,0.208,0,"15--19",0.007,0.035,0.13,0.599,0.229,0,2040,5,0,0.0362694300518134,0.269736842105263
"SSP2","Zambia",2040,"15--19",2,4,0.007,0.035,0.13,0.599,0.229,0,"15--19",0.004,0.024,0.105,0.616,0.251,0,2045,5,0,0.0367278797996661,0.3
"SSP2","Zambia",2045,"15--19",2,4,0.004,0.024,0.105,0.616,0.251,0,"15--19",0.003,0.017,0.092,0.618,0.27,0,2050,5,0,0.0308441558441559,0.2
"SSP2","Zambia",2050,"15--19",2,4,0.003,0.017,0.092,0.618,0.27,0,"15--19",0.002,0.011,0.073,0.626,0.288,0,2055,5,0,0.029126213592233,0.282608695652174
"SSP2","Zambia",2055,"15--19",2,4,0.002,0.011,0.073,0.626,0.288,0,"15--19",0.001,0.007,0.055,0.634,0.303,0,2060,5,0,0.023961661341853,0.315068493150684
"SSP2","Zambia",2060,"15--19",2,4,0.001,0.007,0.055,0.634,0.303,0,"15--19",0.001,0.004,0.041,0.634,0.32,0,2065,5,0,0.026813880126183,0.309090909090909
"SSP2","Zambia",2065,"15--19",2,4,0.001,0.004,0.041,0.634,0.32,0,"15--19",0,0.002,0.03,0.636,0.332,0,2070,5,0,0.0189274447949527,0.341463414634147
"SSP2","Zambia",2070,"15--19",2,4,0,0.002,0.03,0.636,0.332,0,"15--19",0,0.001,0.022,0.632,0.345,0,2075,5,0,0.020440251572327,0.3
"SSP2","Zambia",2015,"20--24",2,5,0.096,0.207,0.214,0.224,0.182,0.076,"20--24",0.072,0.154,0.211,0.242,0.22,0.1,2020,6,0.131868131868132,0.276785714285714,0.373831775700935
"SSP2","Zambia",2020,"20--24",2,5,0.072,0.154,0.211,0.242,0.22,0.1,"20--24",0.035,0.113,0.209,0.261,0.258,0.124,2025,6,0.109090909090909,0.256198347107438,0.383886255924171
"SSP2","Zambia",2025,"20--24",2,5,0.035,0.113,0.209,0.261,0.258,0.124,"20--24",0.024,0.091,0.188,0.269,0.294,0.134,2030,6,0.0387596899224807,0.176245210727969,0.258373205741626
"SSP2","Zambia",2030,"20--24",2,5,0.024,0.091,0.188,0.269,0.294,0.134,"20--24",0.016,0.067,0.17,0.275,0.324,0.148,2035,6,0.0476190476190477,0.163568773234201,0.265957446808511
