"scenario","area","year","age","sex","age_group","t_1","t_2","t_3","t_4","t_5","t_6","sum","sum2"
"SSP2","Zambia",2015,"15--19",1,4,0.059,0.217,0.279,0.349,0.096,0.001,1,1.001
"SSP2","Zambia",2020,"15--19",1,4,0.043,0.151,0.226,0.435,0.145,0,1,1
"SSP2","Zambia",2025,"15--19",1,4,0.028,0.085,0.174,0.521,0.193,0,1.001,1.001
"SSP2","Zambia",2030,"15--19",1,4,0.021,0.065,0.161,0.543,0.21,0.001,1,1.001
"SSP2","Zambia",2035,"15--19",1,4,0.015,0.05,0.146,0.561,0.228,0,1,1
"SSP2","Zambia",2040,"15--19",1,4,0.01,0.039,0.127,0.575,0.249,0.001,1,1.001
"SSP2","Zambia",2045,"15--19",1,4,0.008,0.028,0.111,0.588,0.265,0,1,1
"SSP2","Zambia",2050,"15--19",1,4,0.005,0.021,0.095,0.601,0.278,0,1,1
"SSP2","Zambia",2055,"15--19",1,4,0.003,0.015,0.081,0.606,0.295,0,1,1
"SSP2","Zambia",2060,"15--19",1,4,0.002,0.011,0.066,0.613,0.308,0,1,1
"SSP2","Zambia",2065,"15--19",1,4,0.001,0.007,0.052,0.617,0.323,0,1,1
"SSP2","Zambia",2070,"15--19",1,4,0.001,0.005,0.042,0.616,0.336,0,1,1
"SSP2","Zambia",2015,"20--24",1,5,0.075,0.141,0.213,0.255,0.232,0.085,1.001,1.001
"SSP2","Zambia",2020,"20--24",1,5,0.056,0.12,0.203,0.241,0.264,0.116,1,1
"SSP2","Zambia",2025,"20--24",1,5,0.037,0.1,0.192,0.228,0.297,0.147,1.001,1.001
"SSP2","Zambia",2030,"20--24",1,5,0.028,0.085,0.174,0.231,0.323,0.16,1.001,1.001
"SSP2","Zambia",2035,"20--24",1,5,0.021,0.065,0.161,0.229,0.352,0.172,1,1
"SSP2","Zambia",2040,"20--24",1,5,0.015,0.05,0.146,0.219,0.383,0.187,1,1
"SSP2","Zambia",2045,"20--24",1,5,0.01,0.039,0.127,0.201,0.422,0.201,1,1
"SSP2","Zambia",2050,"20--24",1,5,0.008,0.028,0.111,0.191,0.446,0.217,1.001,1.001
"SSP2","Zambia",2055,"20--24",1,5,0.005,0.021,0.095,0.183,0.463,0.234,1,1.001
"SSP2","Zambia",2060,"20--24",1,5,0.003,0.015,0.081,0.163,0.489,0.25,1.001,1.001
"SSP2","Zambia",2065,"20--24",1,5,0.002,0.011,0.066,0.152,0.506,0.263,1,1
"SSP2","Zambia",2070,"20--24",1,5,0.001,0.007,0.052,0.131,0.528,0.281,1,1
"SSP2","Zambia",2015,"25--29",1,6,0.088,0.151,0.204,0.216,0.192,0.149,1,1
"SSP2","Zambia",2020,"25--29",1,6,0.067,0.133,0.203,0.224,0.198,0.175,0.999,1
"SSP2","Zambia",2025,"25--29",1,6,0.046,0.117,0.205,0.231,0.203,0.199,1.001,1.001
"SSP2","Zambia",2030,"25--29",1,6,0.037,0.1,0.191,0.227,0.235,0.211,1,1.001
"SSP2","Zambia",2035,"25--29",1,6,0.028,0.085,0.174,0.231,0.255,0.228,1.001,1.001
"SSP2","Zambia",2040,"25--29",1,6,0.021,0.065,0.161,0.229,0.28,0.245,1.001,1.001
"SSP2","Zambia",2045,"25--29",1,6,0.015,0.05,0.146,0.219,0.303,0.268,1,1.001
"SSP2","Zambia",2050,"25--29",1,6,0.01,0.039,0.127,0.201,0.336,0.287,1,1
