"SurveyId","survey_year","country_name","country_code_2","zip_file_name","FileSize","file_name","country_code","n_wave"
"AL2008DHS","2008","Albania","AL","ALPR51SV.ZIP",2300621,"ALPR51SV.rds","ALB",2
"AL2017DHS","2017","Albania","AL","ALPR71SV.ZIP",6806424,"ALPR71SV.rds","ALB",2
"AM2000DHS","2000","Armenia","AM","AMPR42SV.ZIP",951390,"AMPR42SV.rds","ARM",4
"AM2005DHS","2005","Armenia","AM","AMPR54sv.zip",1906941,"AMPR54sv.rds","ARM",4
"AM2010DHS","2010","Armenia","AM","AMPR61SV.ZIP",1182513,"AMPR61SV.rds","ARM",4
"AM2016DHS","2016","Armenia","AM","AMPR72SV.ZIP",1888091,"AMPR72SV.rds","ARM",4
"BD1994DHS","1994","Bangladesh","BD","BDPR31SV.ZIP",1452988,"BDPR31SV.rds","BGD",8
"BD1997DHS","1997","Bangladesh","BD","BDPR3ASV.ZIP",853598,"BDPR3ASV.rds","BGD",8
"BD2000DHS","2000","Bangladesh","BD","BDPR41SV.ZIP",1689436,"BDPR41SV.rds","BGD",8
"BD2004DHS","2004","Bangladesh","BD","BDPR4JSV.ZIP",3893882,"BDPR4JSV.rds","BGD",8
"BD2007DHS","2007","Bangladesh","BD","BDPR51SV.ZIP",2972792,"BDPR51SV.rds","BGD",8
"BD2011DHS","2011","Bangladesh","BD","BDPR61SV.ZIP",7220209,"BDPR61SV.rds","BGD",8
"BD2014DHS","2014","Bangladesh","BD","BDPR72SV.ZIP",4750670,"BDPR72SV.rds","BGD",8
"BD2017DHS","2017","Bangladesh","BD","BDPR7RSV.ZIP",8843722,"BDPR7RSV.rds","BGD",8
"BJ1996DHS","1996","Benin","BJ","BJPR31SV.ZIP",713784,"BJPR31SV.rds","BEN",5
"BJ2001DHS","2001","Benin","BJ","BJPR41SV.ZIP",2636052,"BJPR41SV.rds","BEN",5
"BJ2006DHS","2006","Benin","BJ","BJPR51SV.ZIP",9374536,"BJPR51SV.rds","BEN",5
"BJ2012DHS","2012","Benin","BJ","BJPR61SV.ZIP",7816770,"BJPR61SV.rds","BEN",5
"BJ2017DHS","2017","Benin","BJ","BJPR71SV.ZIP",8648818,"BJPR71SV.rds","BEN",5
"BO1994DHS","1994","Bolivia","BO","BOPR31SV.ZIP",1420740,"BOPR31SV.rds","BOL",4
"BO1998DHS","1998","Bolivia","BO","BOPR3BSV.ZIP",2028345,"BOPR3BSV.rds","BOL",4
"BO2003DHS","2003","Bolivia","BO","BOPR41SV.ZIP",8471524,"BOPR41SV.rds","BOL",4
"BO2008DHS","2008","Bolivia","BO","BOPR51SV.ZIP",4747642,"BOPR51SV.rds","BOL",4
"BR1991DHS","1991","Brazil","BR","BRPR21SV.ZIP",957939,"BRPR21SV.rds","BRA",2
"BR1996DHS","1996","Brazil","BR","BRPR31SV.ZIP",1841892,"BRPR31SV.rds","BRA",2
"BF1993DHS","1993","Burkina Faso","BF","BFPR21SV.ZIP",760890,"BFPR21SV.rds","BFA",4
"BF1999DHS","1999","Burkina Faso","BF","BFPR31SV.ZIP",798523,"BFPR31SV.rds","BFA",4
"BF2003DHS","2003","Burkina Faso","BF","BFPR44SV.ZIP",3586725,"BFPR44SV.rds","BFA",4
"BF2010DHS","2010","Burkina Faso","BF","BFPR62SV.ZIP",5620545,"BFPR62SV.rds","BFA",4
"BU2010DHS","2010","Burundi","BU","BUPR61SV.ZIP",3488866,"BUPR61SV.rds","BDI",2
"BU2016DHS","2016","Burundi","BU","BUPR71SV.ZIP",6170160,"BUPR71SV.rds","BDI",2
"KH2000DHS","2000","Cambodia","KH","KHPR42sv.zip",2905045,"KHPR42sv.rds","KHM",4
"KH2005DHS","2005","Cambodia","KH","KHPR51sv.zip",5600986,"KHPR51sv.rds","KHM",4
"KH2010DHS","2010","Cambodia","KH","KHPR61SV.ZIP",4065796,"KHPR61SV.rds","KHM",4
"KH2014DHS","2014","Cambodia","KH","KHPR73SV.ZIP",4639079,"KHPR73SV.rds","KHM",4
"CM1991DHS","1991","Cameroon","CM","CMPR22SV.ZIP",423048,"CMPR22SV.rds","CMR",5
"CM1998DHS","1998","Cameroon","CM","CMPR31SV.ZIP",670051,"CMPR31SV.rds","CMR",5
"CM2004DHS","2004","Cameroon","CM","CMPR45SV.ZIP",3143440,"CMPR45SV.rds","CMR",5
"CM2011DHS","2011","Cameroon","CM","CMPR61SV.ZIP",4875549,"CMPR61SV.rds","CMR",5
"CM2018DHS","2018","Cameroon","CM","CMPR71SV.ZIP",6143152,"CMPR71SV.rds","CMR",5
"TD1997DHS","1997","Chad","TD","TDPR31SV.ZIP",960797,"TDPR31SV.rds","TCD",3
"TD2004DHS","2004","Chad","TD","TDPR41sv.zip",931204,"TDPR41sv.rds","TCD",3
"TD2014DHS","2014","Chad","TD","TDPR71SV.ZIP",5593186,"TDPR71SV.rds","TCD",3
"CO1990DHS","1990","Colombia","CO","COPR22sv.zip",674845,"COPR22sv.rds","COL",6
"CO1995DHS","1995","Colombia","CO","COPR31SV.ZIP",1118194,"COPR31SV.rds","COL",6
"CO2000DHS","2000","Colombia","CO","COPR41SV.ZIP",1826283,"COPR41SV.rds","COL",6
"CO2005DHS","2005","Colombia","CO","COPR53SV.ZIP",14907836,"COPR53SV.rds","COL",6
"CO2010DHS","2010","Colombia","CO","COPR61SV.ZIP",21097081,"COPR61SV.rds","COL",6
"CO2015DHS","2015","Colombia","CO","COPR72SV.ZIP",16164457,"COPR72SV.rds","COL",6
"KM1996DHS","1996","Comoros","KM","KMPR32SV.ZIP",190358,"KMPR32SV.rds","COM",2
"KM2012DHS","2012","Comoros","KM","KMPR61SV.ZIP",2150386,"KMPR61SV.rds","COM",2
"CG2005DHS","2005","Congo","CG","CGPR51SV.ZIP",2595026,"CGPR51SV.rds","COG",2
"CG2011DHS","2011","Congo","CG","CGPR61SV.ZIP",3165869,"CGPR61SV.rds","COG",2
"CD2007DHS","2007","Congo Democratic Republic","CD","CDPR51SV.ZIP",2913896,"CDPR51SV.rds","COD",2
"CD2013DHS","2013","Congo Democratic Republic","CD","CDPR61SV.ZIP",8364572,"CDPR61SV.rds","COD",2
"CI1994DHS","1994","Cote d'Ivoire","CI","CIPR35SV.ZIP",1054856,"CIPR35SV.rds","CIV",3
"CI1998DHS","1998","Cote d'Ivoire","CI","CIPR3ASV.ZIP",250538,"CIPR3ASV.rds","CIV",3
"CI2012DHS","2012","Cote d'Ivoire","CI","CIPR62SV.ZIP",4309634,"CIPR62SV.rds","CIV",3
