"scenario","area","period","age","sex","education","ratio","age_group","period_min","period_max"
"SSP2","Zambia","2015-2020","Newborn",1,1,0.929,0,2015,2020
"SSP2","Zambia","2020-2025","Newborn",1,1,0.94,0,2020,2025
"SSP2","Zambia","2025-2030","Newborn",1,1,0.942,0,2025,2030
"SSP2","Zambia","2030-2035","Newborn",1,1,0.943,0,2030,2035
"SSP2","Zambia","2035-2040","Newborn",1,1,0.945,0,2035,2040
"SSP2","Zambia","2040-2045","Newborn",1,1,0.947,0,2040,2045
"SSP2","Zambia","2045-2050","Newborn",1,1,0.949,0,2045,2050
"SSP2","Zambia","2050-2055","Newborn",1,1,0.951,0,2050,2055
"SSP2","Zambia","2055-2060","Newborn",1,1,0.953,0,2055,2060
"SSP2","Zambia","2060-2065","Newborn",1,1,0.932,0,2060,2065
"SSP2","Zambia","2065-2070","Newborn",1,1,0.934,0,2065,2070
"SSP2","Zambia","2070-2075","Newborn",1,1,0.935,0,2070,2075
"SSP2","Zambia","2015-2020","0--4",1,1,0.98,1,2015,2020
"SSP2","Zambia","2020-2025","0--4",1,1,0.985,1,2020,2025
"SSP2","Zambia","2025-2030","0--4",1,1,0.986,1,2025,2030
"SSP2","Zambia","2030-2035","0--4",1,1,0.987,1,2030,2035
"SSP2","Zambia","2035-2040","0--4",1,1,0.987,1,2035,2040
"SSP2","Zambia","2040-2045","0--4",1,1,0.988,1,2040,2045
"SSP2","Zambia","2045-2050","0--4",1,1,0.989,1,2045,2050
"SSP2","Zambia","2050-2055","0--4",1,1,0.989,1,2050,2055
"SSP2","Zambia","2055-2060","0--4",1,1,0.99,1,2055,2060
"SSP2","Zambia","2060-2065","0--4",1,1,0.979,1,2060,2065
"SSP2","Zambia","2065-2070","0--4",1,1,0.98,1,2065,2070
"SSP2","Zambia","2070-2075","0--4",1,1,0.981,1,2070,2075
"SSP2","Zambia","2015-2020","5--9",1,1,0.99,2,2015,2020
"SSP2","Zambia","2020-2025","5--9",1,1,0.992,2,2020,2025
"SSP2","Zambia","2025-2030","5--9",1,1,0.992,2,2025,2030
"SSP2","Zambia","2030-2035","5--9",1,1,0.993,2,2030,2035
"SSP2","Zambia","2035-2040","5--9",1,1,0.993,2,2035,2040
"SSP2","Zambia","2040-2045","5--9",1,1,0.993,2,2040,2045
"SSP2","Zambia","2045-2050","5--9",1,1,0.994,2,2045,2050
"SSP2","Zambia","2050-2055","5--9",1,1,0.994,2,2050,2055
"SSP2","Zambia","2055-2060","5--9",1,1,0.994,2,2055,2060
"SSP2","Zambia","2060-2065","5--9",1,1,0.991,2,2060,2065
"SSP2","Zambia","2065-2070","5--9",1,1,0.99,2,2065,2070
"SSP2","Zambia","2070-2075","5--9",1,1,0.99,2,2070,2075
"SSP2","Zambia","2015-2020","10--14",1,1,0.989,3,2015,2020
"SSP2","Zambia","2020-2025","10--14",1,1,0.991,3,2020,2025
"SSP2","Zambia","2025-2030","10--14",1,1,0.991,3,2025,2030
"SSP2","Zambia","2030-2035","10--14",1,1,0.991,3,2030,2035
"SSP2","Zambia","2035-2040","10--14",1,1,0.991,3,2035,2040
"SSP2","Zambia","2040-2045","10--14",1,1,0.992,3,2040,2045
"SSP2","Zambia","2045-2050","10--14",1,1,0.992,3,2045,2050
"SSP2","Zambia","2050-2055","10--14",1,1,0.992,3,2050,2055
"SSP2","Zambia","2055-2060","10--14",1,1,0.992,3,2055,2060
"SSP2","Zambia","2060-2065","10--14",1,1,0.99,3,2060,2065
"SSP2","Zambia","2065-2070","10--14",1,1,0.991,3,2065,2070
"SSP2","Zambia","2070-2075","10--14",1,1,0.99,3,2070,2075
"SSP2","Zambia","2015-2020","15--19",1,1,0.979,4,2015,2020
"SSP2","Zambia","2020-2025","15--19",1,1,0.983,4,2020,2025
"SSP2","Zambia","2025-2030","15--19",1,1,0.984,4,2025,2030
"SSP2","Zambia","2030-2035","15--19",1,1,0.985,4,2030,2035
"SSP2","Zambia","2035-2040","15--19",1,1,0.985,4,2035,2040
"SSP2","Zambia","2040-2045","15--19",1,1,0.985,4,2040,2045
"SSP2","Zambia","2045-2050","15--19",1,1,0.986,4,2045,2050
"SSP2","Zambia","2050-2055","15--19",1,1,0.987,4,2050,2055
"SSP2","Zambia","2055-2060","15--19",1,1,0.987,4,2055,2060
"SSP2","Zambia","2060-2065","15--19",1,1,0.979,4,2060,2065
"SSP2","Zambia","2065-2070","15--19",1,1,0.979,4,2065,2070
"SSP2","Zambia","2070-2075","15--19",1,1,0.98,4,2070,2075
"SSP2","Zambia","2015-2020","20--24",1,1,0.971,5,2015,2020
"SSP2","Zambia","2020-2025","20--24",1,1,0.977,5,2020,2025
"SSP2","Zambia","2025-2030","20--24",1,1,0.978,5,2025,2030
"SSP2","Zambia","2030-2035","20--24",1,1,0.979,5,2030,2035
"SSP2","Zambia","2035-2040","20--24",1,1,0.98,5,2035,2040
"SSP2","Zambia","2040-2045","20--24",1,1,0.98,5,2040,2045
"SSP2","Zambia","2045-2050","20--24",1,1,0.981,5,2045,2050
"SSP2","Zambia","2050-2055","20--24",1,1,0.982,5,2050,2055
"SSP2","Zambia","2055-2060","20--24",1,1,0.983,5,2055,2060
"SSP2","Zambia","2060-2065","20--24",1,1,0.972,5,2060,2065
"SSP2","Zambia","2065-2070","20--24",1,1,0.972,5,2065,2070
"SSP2","Zambia","2070-2075","20--24",1,1,0.973,5,2070,2075
"SSP2","Zambia","2015-2020","25--29",1,1,0.963,6,2015,2020
"SSP2","Zambia","2020-2025","25--29",1,1,0.972,6,2020,2025
"SSP2","Zambia","2025-2030","25--29",1,1,0.973,6,2025,2030
"SSP2","Zambia","2030-2035","25--29",1,1,0.975,6,2030,2035
"SSP2","Zambia","2035-2040","25--29",1,1,0.976,6,2035,2040
"SSP2","Zambia","2040-2045","25--29",1,1,0.977,6,2040,2045
"SSP2","Zambia","2045-2050","25--29",1,1,0.978,6,2045,2050
"SSP2","Zambia","2050-2055","25--29",1,1,0.979,6,2050,2055
"SSP2","Zambia","2055-2060","25--29",1,1,0.98,6,2055,2060
"SSP2","Zambia","2060-2065","25--29",1,1,0.964,6,2060,2065
"SSP2","Zambia","2065-2070","25--29",1,1,0.965,6,2065,2070
"SSP2","Zambia","2070-2075","25--29",1,1,0.966,6,2070,2075
"SSP2","Zambia","2015-2020","30--34",1,1,0.949,7,2015,2020
"SSP2","Zambia","2020-2025","30--34",1,1,0.964,7,2020,2025
"SSP2","Zambia","2025-2030","30--34",1,1,0.966,7,2025,2030
"SSP2","Zambia","2030-2035","30--34",1,1,0.968,7,2030,2035
"SSP2","Zambia","2035-2040","30--34",1,1,0.97,7,2035,2040
"SSP2","Zambia","2040-2045","30--34",1,1,0.972,7,2040,2045
"SSP2","Zambia","2045-2050","30--34",1,1,0.974,7,2045,2050
"SSP2","Zambia","2050-2055","30--34",1,1,0.975,7,2050,2055
"SSP2","Zambia","2055-2060","30--34",1,1,0.976,7,2055,2060
"SSP2","Zambia","2060-2065","30--34",1,1,0.951,7,2060,2065
"SSP2","Zambia","2065-2070","30--34",1,1,0.952,7,2065,2070
"SSP2","Zambia","2070-2075","30--34",1,1,0.954,7,2070,2075
"SSP2","Zambia","2015-2020","35--39",1,1,0.936,8,2015,2020
"SSP2","Zambia","2020-2025","35--39",1,1,0.956,8,2020,2025
"SSP2","Zambia","2025-2030","35--39",1,1,0.959,8,2025,2030
"SSP2","Zambia","2030-2035","35--39",1,1,0.961,8,2030,2035
"SSP2","Zambia","2035-2040","35--39",1,1,0.963,8,2035,2040
"SSP2","Zambia","2040-2045","35--39",1,1,0.965,8,2040,2045
"SSP2","Zambia","2045-2050","35--39",1,1,0.967,8,2045,2050
"SSP2","Zambia","2050-2055","35--39",1,1,0.969,8,2050,2055
"SSP2","Zambia","2055-2060","35--39",1,1,0.971,8,2055,2060
"SSP2","Zambia","2060-2065","35--39",1,1,0.938,8,2060,2065
"SSP2","Zambia","2065-2070","35--39",1,1,0.939,8,2065,2070
"SSP2","Zambia","2070-2075","35--39",1,1,0.942,8,2070,2075
"SSP2","Zambia","2015-2020","40--44",1,1,0.928,9,2015,2020
"SSP2","Zambia","2020-2025","40--44",1,1,0.949,9,2020,2025
"SSP2","Zambia","2025-2030","40--44",1,1,0.952,9,2025,2030
"SSP2","Zambia","2030-2035","40--44",1,1,0.954,9,2030,2035
"SSP2","Zambia","2035-2040","40--44",1,1,0.956,9,2035,2040
"SSP2","Zambia","2040-2045","40--44",1,1,0.958,9,2040,2045
"SSP2","Zambia","2045-2050","40--44",1,1,0.96,9,2045,2050
"SSP2","Zambia","2050-2055","40--44",1,1,0.962,9,2050,2055
"SSP2","Zambia","2055-2060","40--44",1,1,0.964,9,2055,2060
"SSP2","Zambia","2060-2065","40--44",1,1,0.929,9,2060,2065
"SSP2","Zambia","2065-2070","40--44",1,1,0.931,9,2065,2070
"SSP2","Zambia","2070-2075","40--44",1,1,0.933,9,2070,2075
"SSP2","Zambia","2015-2020","45--49",1,1,0.918,10,2015,2020
"SSP2","Zambia","2020-2025","45--49",1,1,0.937,10,2020,2025
"SSP2","Zambia","2025-2030","45--49",1,1,0.939,10,2025,2030
"SSP2","Zambia","2030-2035","45--49",1,1,0.941,10,2030,2035
"SSP2","Zambia","2035-2040","45--49",1,1,0.943,10,2035,2040
"SSP2","Zambia","2040-2045","45--49",1,1,0.945,10,2040,2045
"SSP2","Zambia","2045-2050","45--49",1,1,0.947,10,2045,2050
"SSP2","Zambia","2050-2055","45--49",1,1,0.949,10,2050,2055
"SSP2","Zambia","2055-2060","45--49",1,1,0.951,10,2055,2060
"SSP2","Zambia","2060-2065","45--49",1,1,0.919,10,2060,2065
"SSP2","Zambia","2065-2070","45--49",1,1,0.92,10,2065,2070
"SSP2","Zambia","2070-2075","45--49",1,1,0.922,10,2070,2075
"SSP2","Zambia","2015-2020","50--54",1,1,0.906,11,2015,2020
"SSP2","Zambia","2020-2025","50--54",1,1,0.92,11,2020,2025
"SSP2","Zambia","2025-2030","50--54",1,1,0.922,11,2025,2030
