p_urban,scenario,year
41,SSP2,2015
43.0377,SSP2,2020
45.17667369,SSP2,2025
47.421954372393,SSP2,2030
49.77882550470093,SSP2,2035
52.25283313228457,SSP2,2040
54.84979893895911,SSP2,2045
57.57583394622538,SSP2,2050
60.43735289335278,SSP2,2055
63.441089332152416,SSP2,2060
66.59411147196039,SSP2,2065
69.90383881211682,SSP2,2070
41,SSP1,2015
44.4686,SSP1,2020
48.230643560000004,SSP1,2025
52.310956005176,SSP1,2030
56.73646288321389,SSP1,2035
61.53636764313379,SSP1,2040
66.74234434574291,SSP1,2045
72.38874667739276,SSP1,2050
78.51283464630019,SSP1,2055
85.15502045737719,SSP1,2060
92.3591351880713,SSP1,2065
100,SSP1,2070
