Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Education","Rate"
"SSP2","Zambia","2015-2020","15--19","No Education",144
"SSP2","Zambia","2020-2025","15--19","No Education",131
"SSP2","Zambia","2025-2030","15--19","No Education",116
"SSP2","Zambia","2030-2035","15--19","No Education",99
"SSP2","Zambia","2035-2040","15--19","No Education",83
"SSP2","Zambia","2040-2045","15--19","No Education",70
"SSP2","Zambia","2045-2050","15--19","No Education",58
"SSP2","Zambia","2015-2020","20--24","No Education",402
"SSP2","Zambia","2020-2025","20--24","No Education",397
"SSP2","Zambia","2025-2030","20--24","No Education",393
"SSP2","Zambia","2030-2035","20--24","No Education",374
"SSP2","Zambia","2035-2040","20--24","No Education",349
"SSP2","Zambia","2040-2045","20--24","No Education",319
"SSP2","Zambia","2045-2050","20--24","No Education",290
"SSP2","Zambia","2015-2020","25--29","No Education",368
"SSP2","Zambia","2020-2025","25--29","No Education",355
"SSP2","Zambia","2025-2030","25--29","No Education",349
"SSP2","Zambia","2030-2035","25--29","No Education",327
"SSP2","Zambia","2035-2040","25--29","No Education",299
"SSP2","Zambia","2040-2045","25--29","No Education",269
"SSP2","Zambia","2045-2050","25--29","No Education",239
"SSP2","Zambia","2015-2020","30--34","No Education",257
"SSP2","Zambia","2020-2025","30--34","No Education",246
"SSP2","Zambia","2025-2030","30--34","No Education",212
"SSP2","Zambia","2030-2035","30--34","No Education",189
"SSP2","Zambia","2035-2040","30--34","No Education",164
"SSP2","Zambia","2040-2045","30--34","No Education",141
"SSP2","Zambia","2045-2050","30--34","No Education",121
"SSP2","Zambia","2015-2020","35--39","No Education",168
"SSP2","Zambia","2020-2025","35--39","No Education",147
"SSP2","Zambia","2025-2030","35--39","No Education",128
"SSP2","Zambia","2030-2035","35--39","No Education",112
"SSP2","Zambia","2035-2040","35--39","No Education",95
"SSP2","Zambia","2040-2045","35--39","No Education",80
"SSP2","Zambia","2045-2050","35--39","No Education",67
"SSP2","Zambia","2015-2020","40--44","No Education",75
"SSP2","Zambia","2020-2025","40--44","No Education",65
"SSP2","Zambia","2025-2030","40--44","No Education",56
"SSP2","Zambia","2030-2035","40--44","No Education",48
"SSP2","Zambia","2035-2040","40--44","No Education",40
"SSP2","Zambia","2040-2045","40--44","No Education",33
"SSP2","Zambia","2045-2050","40--44","No Education",27
"SSP2","Zambia","2015-2020","45--49","No Education",19
"SSP2","Zambia","2020-2025","45--49","No Education",15
"SSP2","Zambia","2025-2030","45--49","No Education",12
"SSP2","Zambia","2030-2035","45--49","No Education",10
"SSP2","Zambia","2035-2040","45--49","No Education",7
"SSP2","Zambia","2040-2045","45--49","No Education",6
"SSP2","Zambia","2045-2050","45--49","No Education",4
"SSP2","Zambia","2015-2020","15--19","Incomplete Primary",134
"SSP2","Zambia","2020-2025","15--19","Incomplete Primary",122
"SSP2","Zambia","2025-2030","15--19","Incomplete Primary",109
"SSP2","Zambia","2030-2035","15--19","Incomplete Primary",94
"SSP2","Zambia","2035-2040","15--19","Incomplete Primary",79
"SSP2","Zambia","2040-2045","15--19","Incomplete Primary",67
"SSP2","Zambia","2045-2050","15--19","Incomplete Primary",56
"SSP2","Zambia","2015-2020","20--24","Incomplete Primary",373
"SSP2","Zambia","2020-2025","20--24","Incomplete Primary",368
"SSP2","Zambia","2025-2030","20--24","Incomplete Primary",369
"SSP2","Zambia","2030-2035","20--24","Incomplete Primary",354
"SSP2","Zambia","2035-2040","20--24","Incomplete Primary",332
"SSP2","Zambia","2040-2045","20--24","Incomplete Primary",306
"SSP2","Zambia","2045-2050","20--24","Incomplete Primary",280
"SSP2","Zambia","2015-2020","25--29","Incomplete Primary",342
"SSP2","Zambia","2020-2025","25--29","Incomplete Primary",330
"SSP2","Zambia","2025-2030","25--29","Incomplete Primary",327
"SSP2","Zambia","2030-2035","25--29","Incomplete Primary",309
"SSP2","Zambia","2035-2040","25--29","Incomplete Primary",285
"SSP2","Zambia","2040-2045","25--29","Incomplete Primary",257
"SSP2","Zambia","2045-2050","25--29","Incomplete Primary",230
"SSP2","Zambia","2015-2020","30--34","Incomplete Primary",239
"SSP2","Zambia","2020-2025","30--34","Incomplete Primary",231
"SSP2","Zambia","2025-2030","30--34","Incomplete Primary",199
"SSP2","Zambia","2030-2035","30--34","Incomplete Primary",178
"SSP2","Zambia","2035-2040","30--34","Incomplete Primary",156
"SSP2","Zambia","2040-2045","30--34","Incomplete Primary",135
"SSP2","Zambia","2045-2050","30--34","Incomplete Primary",117
"SSP2","Zambia","2015-2020","35--39","Incomplete Primary",156
"SSP2","Zambia","2020-2025","35--39","Incomplete Primary",140
"SSP2","Zambia","2025-2030","35--39","Incomplete Primary",120
"SSP2","Zambia","2030-2035","35--39","Incomplete Primary",105
"SSP2","Zambia","2035-2040","35--39","Incomplete Primary",91
"SSP2","Zambia","2040-2045","35--39","Incomplete Primary",77
"SSP2","Zambia","2045-2050","35--39","Incomplete Primary",65
"SSP2","Zambia","2015-2020","40--44","Incomplete Primary",70
"SSP2","Zambia","2020-2025","40--44","Incomplete Primary",60
"SSP2","Zambia","2025-2030","40--44","Incomplete Primary",53
"SSP2","Zambia","2030-2035","40--44","Incomplete Primary",45
"SSP2","Zambia","2035-2040","40--44","Incomplete Primary",38
"SSP2","Zambia","2040-2045","40--44","Incomplete Primary",32
"SSP2","Zambia","2045-2050","40--44","Incomplete Primary",26
"SSP2","Zambia","2015-2020","45--49","Incomplete Primary",18
"SSP2","Zambia","2020-2025","45--49","Incomplete Primary",14
"SSP2","Zambia","2025-2030","45--49","Incomplete Primary",11
"SSP2","Zambia","2030-2035","45--49","Incomplete Primary",9
"SSP2","Zambia","2035-2040","45--49","Incomplete Primary",7
"SSP2","Zambia","2040-2045","45--49","Incomplete Primary",5
"SSP2","Zambia","2045-2050","45--49","Incomplete Primary",4
"SSP2","Zambia","2015-2020","15--19","Primary",109
"SSP2","Zambia","2020-2025","15--19","Primary",101
"SSP2","Zambia","2025-2030","15--19","Primary",92
"SSP2","Zambia","2030-2035","15--19","Primary",80
"SSP2","Zambia","2035-2040","15--19","Primary",69
"SSP2","Zambia","2040-2045","15--19","Primary",60
"SSP2","Zambia","2045-2050","15--19","Primary",51
"SSP2","Zambia","2015-2020","20--24","Primary",305
"SSP2","Zambia","2020-2025","20--24","Primary",299
"SSP2","Zambia","2025-2030","20--24","Primary",306
"SSP2","Zambia","2030-2035","20--24","Primary",304
"SSP2","Zambia","2035-2040","20--24","Primary",291
"SSP2","Zambia","2040-2045","20--24","Primary",274
"SSP2","Zambia","2045-2050","20--24","Primary",256
"SSP2","Zambia","2015-2020","25--29","Primary",279
"SSP2","Zambia","2020-2025","25--29","Primary",270
"SSP2","Zambia","2025-2030","25--29","Primary",268
"SSP2","Zambia","2030-2035","25--29","Primary",265
"SSP2","Zambia","2035-2040","25--29","Primary",250
"SSP2","Zambia","2040-2045","25--29","Primary",230
"SSP2","Zambia","2045-2050","25--29","Primary",211
"SSP2","Zambia","2015-2020","30--34","Primary",195
"SSP2","Zambia","2020-2025","30--34","Primary",188
"SSP2","Zambia","2025-2030","30--34","Primary",180
"SSP2","Zambia","2030-2035","30--34","Primary",153
"SSP2","Zambia","2035-2040","30--34","Primary",137
"SSP2","Zambia","2040-2045","30--34","Primary",121
"SSP2","Zambia","2045-2050","30--34","Primary",107
"SSP2","Zambia","2015-2020","35--39","Primary",127
"SSP2","Zambia","2020-2025","35--39","Primary",123
"SSP2","Zambia","2025-2030","35--39","Primary",102
"SSP2","Zambia","2030-2035","35--39","Primary",90
"SSP2","Zambia","2035-2040","35--39","Primary",79
"SSP2","Zambia","2040-2045","35--39","Primary",69
"SSP2","Zambia","2045-2050","35--39","Primary",60
"SSP2","Zambia","2015-2020","40--44","Primary",57
"SSP2","Zambia","2020-2025","40--44","Primary",55
"SSP2","Zambia","2025-2030","40--44","Primary",44
"SSP2","Zambia","2030-2035","40--44","Primary",39
"SSP2","Zambia","2035-2040","40--44","Primary",34
"SSP2","Zambia","2040-2045","40--44","Primary",29
"SSP2","Zambia","2045-2050","40--44","Primary",24
"SSP2","Zambia","2015-2020","45--49","Primary",15
"SSP2","Zambia","2020-2025","45--49","Primary",13
"SSP2","Zambia","2025-2030","45--49","Primary",10
"SSP2","Zambia","2030-2035","45--49","Primary",8
"SSP2","Zambia","2035-2040","45--49","Primary",6
"SSP2","Zambia","2040-2045","45--49","Primary",5
"SSP2","Zambia","2045-2050","45--49","Primary",4
"SSP2","Zambia","2015-2020","15--19","Lower Secondary",63
"SSP2","Zambia","2020-2025","15--19","Lower Secondary",59
"SSP2","Zambia","2025-2030","15--19","Lower Secondary",54
"SSP2","Zambia","2030-2035","15--19","Lower Secondary",48
"SSP2","Zambia","2035-2040","15--19","Lower Secondary",42
"SSP2","Zambia","2040-2045","15--19","Lower Secondary",37
"SSP2","Zambia","2045-2050","15--19","Lower Secondary",32
"SSP2","Zambia","2015-2020","20--24","Lower Secondary",224
"SSP2","Zambia","2020-2025","20--24","Lower Secondary",223
"SSP2","Zambia","2025-2030","20--24","Lower Secondary",223
"SSP2","Zambia","2030-2035","20--24","Lower Secondary",231
"SSP2","Zambia","2035-2040","20--24","Lower Secondary",233
"SSP2","Zambia","2040-2045","20--24","Lower Secondary",225
"SSP2","Zambia","2045-2050","20--24","Lower Secondary",215
"SSP2","Zambia","2015-2020","25--29","Lower Secondary",216
"SSP2","Zambia","2020-2025","25--29","Lower Secondary",213
"SSP2","Zambia","2025-2030","25--29","Lower Secondary",209
"SSP2","Zambia","2030-2035","25--29","Lower Secondary",210
"SSP2","Zambia","2035-2040","25--29","Lower Secondary",219
"SSP2","Zambia","2040-2045","25--29","Lower Secondary",209
"SSP2","Zambia","2045-2050","25--29","Lower Secondary",197
"SSP2","Zambia","2015-2020","30--34","Lower Secondary",153
"SSP2","Zambia","2020-2025","30--34","Lower Secondary",151
"SSP2","Zambia","2025-2030","30--34","Lower Secondary",148
"SSP2","Zambia","2030-2035","30--34","Lower Secondary",149
"SSP2","Zambia","2035-2040","30--34","Lower Secondary",122
"SSP2","Zambia","2040-2045","30--34","Lower Secondary",111
"SSP2","Zambia","2045-2050","30--34","Lower Secondary",101
"SSP2","Zambia","2015-2020","35--39","Lower Secondary",103
"SSP2","Zambia","2020-2025","35--39","Lower Secondary",101
"SSP2","Zambia","2025-2030","35--39","Lower Secondary",99
"SSP2","Zambia","2030-2035","35--39","Lower Secondary",83
"SSP2","Zambia","2035-2040","35--39","Lower Secondary",71
"SSP2","Zambia","2040-2045","35--39","Lower Secondary",63
"SSP2","Zambia","2045-2050","35--39","Lower Secondary",56
"SSP2","Zambia","2015-2020","40--44","Lower Secondary",47
"SSP2","Zambia","2020-2025","40--44","Lower Secondary",46
"SSP2","Zambia","2025-2030","40--44","Lower Secondary",46
"SSP2","Zambia","2030-2035","40--44","Lower Secondary",35
"SSP2","Zambia","2035-2040","40--44","Lower Secondary",31
"SSP2","Zambia","2040-2045","40--44","Lower Secondary",27
"SSP2","Zambia","2045-2050","40--44","Lower Secondary",23
"SSP2","Zambia","2015-2020","45--49","Lower Secondary",12
"SSP2","Zambia","2020-2025","45--49","Lower Secondary",12
"SSP2","Zambia","2025-2030","45--49","Lower Secondary",11
"SSP2","Zambia","2030-2035","45--49","Lower Secondary",7
"SSP2","Zambia","2035-2040","45--49","Lower Secondary",6
"SSP2","Zambia","2040-2045","45--49","Lower Secondary",5
"SSP2","Zambia","2045-2050","45--49","Lower Secondary",4
"SSP2","Zambia","2015-2020","15--19","Upper Secondary",3
"SSP2","Zambia","2020-2025","15--19","Upper Secondary",0
"SSP2","Zambia","2025-2030","15--19","Upper Secondary",0
"SSP2","Zambia","2030-2035","15--19","Upper Secondary",0
"SSP2","Zambia","2035-2040","15--19","Upper Secondary",0
"SSP2","Zambia","2040-2045","15--19","Upper Secondary",0
"SSP2","Zambia","2045-2050","15--19","Upper Secondary",0
"SSP2","Zambia","2015-2020","20--24","Upper Secondary",161
"SSP2","Zambia","2020-2025","20--24","Upper Secondary",163
