Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Education","Rate"
"SSP2","Zambia","2015-2020","15--19","No Education",144
"SSP2","Zambia","2020-2025","15--19","No Education",131
"SSP2","Zambia","2025-2030","15--19","No Education",116
"SSP2","Zambia","2030-2035","15--19","No Education",99
"SSP2","Zambia","2035-2040","15--19","No Education",83
"SSP2","Zambia","2040-2045","15--19","No Education",70
"SSP2","Zambia","2045-2050","15--19","No Education",58
"SSP2","Zambia","2050-2055","15--19","No Education",49
"SSP2","Zambia","2055-2060","15--19","No Education",42
"SSP2","Zambia","2060-2065","15--19","No Education",37
"SSP2","Zambia","2065-2070","15--19","No Education",33
"SSP2","Zambia","2075-2080","15--19","No Education",27
"SSP2","Zambia","2015-2020","20--24","No Education",402
"SSP2","Zambia","2020-2025","20--24","No Education",397
"SSP2","Zambia","2025-2030","20--24","No Education",393
"SSP2","Zambia","2030-2035","20--24","No Education",374
"SSP2","Zambia","2035-2040","20--24","No Education",349
"SSP2","Zambia","2040-2045","20--24","No Education",319
"SSP2","Zambia","2045-2050","20--24","No Education",290
"SSP2","Zambia","2050-2055","20--24","No Education",264
"SSP2","Zambia","2055-2060","20--24","No Education",241
"SSP2","Zambia","2060-2065","20--24","No Education",223
"SSP2","Zambia","2065-2070","20--24","No Education",210
"SSP2","Zambia","2075-2080","20--24","No Education",188
"SSP2","Zambia","2015-2020","25--29","No Education",368
"SSP2","Zambia","2020-2025","25--29","No Education",355
"SSP2","Zambia","2025-2030","25--29","No Education",349
"SSP2","Zambia","2030-2035","25--29","No Education",327
"SSP2","Zambia","2035-2040","25--29","No Education",299
"SSP2","Zambia","2040-2045","25--29","No Education",269
"SSP2","Zambia","2045-2050","25--29","No Education",239
"SSP2","Zambia","2050-2055","25--29","No Education",213
"SSP2","Zambia","2055-2060","25--29","No Education",191
"SSP2","Zambia","2060-2065","25--29","No Education",175
"SSP2","Zambia","2065-2070","25--29","No Education",163
"SSP2","Zambia","2075-2080","25--29","No Education",146
"SSP2","Zambia","2015-2020","30--34","No Education",257
"SSP2","Zambia","2020-2025","30--34","No Education",246
"SSP2","Zambia","2025-2030","30--34","No Education",212
"SSP2","Zambia","2030-2035","30--34","No Education",189
"SSP2","Zambia","2035-2040","30--34","No Education",164
"SSP2","Zambia","2040-2045","30--34","No Education",141
"SSP2","Zambia","2045-2050","30--34","No Education",121
"SSP2","Zambia","2050-2055","30--34","No Education",104
"SSP2","Zambia","2055-2060","30--34","No Education",91
"SSP2","Zambia","2060-2065","30--34","No Education",82
"SSP2","Zambia","2065-2070","30--34","No Education",76
"SSP2","Zambia","2075-2080","30--34","No Education",68
"SSP2","Zambia","2015-2020","35--39","No Education",168
"SSP2","Zambia","2020-2025","35--39","No Education",147
"SSP2","Zambia","2025-2030","35--39","No Education",128
"SSP2","Zambia","2030-2035","35--39","No Education",112
"SSP2","Zambia","2035-2040","35--39","No Education",95
"SSP2","Zambia","2040-2045","35--39","No Education",80
"SSP2","Zambia","2045-2050","35--39","No Education",67
"SSP2","Zambia","2050-2055","35--39","No Education",57
"SSP2","Zambia","2055-2060","35--39","No Education",49
"SSP2","Zambia","2060-2065","35--39","No Education",43
"SSP2","Zambia","2065-2070","35--39","No Education",39
"SSP2","Zambia","2075-2080","35--39","No Education",33
"SSP2","Zambia","2015-2020","40--44","No Education",75
"SSP2","Zambia","2020-2025","40--44","No Education",65
"SSP2","Zambia","2025-2030","40--44","No Education",56
"SSP2","Zambia","2030-2035","40--44","No Education",48
"SSP2","Zambia","2035-2040","40--44","No Education",40
"SSP2","Zambia","2040-2045","40--44","No Education",33
"SSP2","Zambia","2045-2050","40--44","No Education",27
"SSP2","Zambia","2050-2055","40--44","No Education",23
"SSP2","Zambia","2055-2060","40--44","No Education",19
"SSP2","Zambia","2060-2065","40--44","No Education",16
"SSP2","Zambia","2065-2070","40--44","No Education",14
"SSP2","Zambia","2075-2080","40--44","No Education",11
"SSP2","Zambia","2015-2020","45--49","No Education",19
"SSP2","Zambia","2020-2025","45--49","No Education",15
"SSP2","Zambia","2025-2030","45--49","No Education",12
"SSP2","Zambia","2030-2035","45--49","No Education",10
"SSP2","Zambia","2035-2040","45--49","No Education",7
"SSP2","Zambia","2040-2045","45--49","No Education",6
"SSP2","Zambia","2045-2050","45--49","No Education",4
"SSP2","Zambia","2050-2055","45--49","No Education",3
"SSP2","Zambia","2055-2060","45--49","No Education",2
"SSP2","Zambia","2060-2065","45--49","No Education",1
"SSP2","Zambia","2065-2070","45--49","No Education",1
"SSP2","Zambia","2075-2080","45--49","No Education",9
"SSP2","Zambia","2015-2020","15--19","Incomplete Primary",134
"SSP2","Zambia","2020-2025","15--19","Incomplete Primary",122
"SSP2","Zambia","2025-2030","15--19","Incomplete Primary",109
"SSP2","Zambia","2030-2035","15--19","Incomplete Primary",94
"SSP2","Zambia","2035-2040","15--19","Incomplete Primary",79
"SSP2","Zambia","2040-2045","15--19","Incomplete Primary",67
"SSP2","Zambia","2045-2050","15--19","Incomplete Primary",56
"SSP2","Zambia","2050-2055","15--19","Incomplete Primary",48
"SSP2","Zambia","2055-2060","15--19","Incomplete Primary",41
"SSP2","Zambia","2060-2065","15--19","Incomplete Primary",36
"SSP2","Zambia","2065-2070","15--19","Incomplete Primary",32
"SSP2","Zambia","2075-2080","15--19","Incomplete Primary",26
"SSP2","Zambia","2015-2020","20--24","Incomplete Primary",373
"SSP2","Zambia","2020-2025","20--24","Incomplete Primary",368
"SSP2","Zambia","2025-2030","20--24","Incomplete Primary",369
"SSP2","Zambia","2030-2035","20--24","Incomplete Primary",354
"SSP2","Zambia","2035-2040","20--24","Incomplete Primary",332
"SSP2","Zambia","2040-2045","20--24","Incomplete Primary",306
"SSP2","Zambia","2045-2050","20--24","Incomplete Primary",280
"SSP2","Zambia","2050-2055","20--24","Incomplete Primary",256
"SSP2","Zambia","2055-2060","20--24","Incomplete Primary",236
"SSP2","Zambia","2060-2065","20--24","Incomplete Primary",220
"SSP2","Zambia","2065-2070","20--24","Incomplete Primary",207
"SSP2","Zambia","2075-2080","20--24","Incomplete Primary",187
"SSP2","Zambia","2015-2020","25--29","Incomplete Primary",342
"SSP2","Zambia","2020-2025","25--29","Incomplete Primary",330
"SSP2","Zambia","2025-2030","25--29","Incomplete Primary",327
"SSP2","Zambia","2030-2035","25--29","Incomplete Primary",309
"SSP2","Zambia","2035-2040","25--29","Incomplete Primary",285
"SSP2","Zambia","2040-2045","25--29","Incomplete Primary",257
"SSP2","Zambia","2045-2050","25--29","Incomplete Primary",230
"SSP2","Zambia","2050-2055","25--29","Incomplete Primary",207
"SSP2","Zambia","2055-2060","25--29","Incomplete Primary",187
"SSP2","Zambia","2060-2065","25--29","Incomplete Primary",172
"SSP2","Zambia","2065-2070","25--29","Incomplete Primary",161
"SSP2","Zambia","2075-2080","25--29","Incomplete Primary",145
"SSP2","Zambia","2015-2020","30--34","Incomplete Primary",239
"SSP2","Zambia","2020-2025","30--34","Incomplete Primary",231
"SSP2","Zambia","2025-2030","30--34","Incomplete Primary",199
"SSP2","Zambia","2030-2035","30--34","Incomplete Primary",178
"SSP2","Zambia","2035-2040","30--34","Incomplete Primary",156
"SSP2","Zambia","2040-2045","30--34","Incomplete Primary",135
"SSP2","Zambia","2045-2050","30--34","Incomplete Primary",117
"SSP2","Zambia","2050-2055","30--34","Incomplete Primary",101
"SSP2","Zambia","2055-2060","30--34","Incomplete Primary",89
"SSP2","Zambia","2060-2065","30--34","Incomplete Primary",81
"SSP2","Zambia","2065-2070","30--34","Incomplete Primary",75
"SSP2","Zambia","2075-2080","30--34","Incomplete Primary",67
"SSP2","Zambia","2015-2020","35--39","Incomplete Primary",156
"SSP2","Zambia","2020-2025","35--39","Incomplete Primary",140
"SSP2","Zambia","2025-2030","35--39","Incomplete Primary",120
"SSP2","Zambia","2030-2035","35--39","Incomplete Primary",105
"SSP2","Zambia","2035-2040","35--39","Incomplete Primary",91
"SSP2","Zambia","2040-2045","35--39","Incomplete Primary",77
"SSP2","Zambia","2045-2050","35--39","Incomplete Primary",65
"SSP2","Zambia","2050-2055","35--39","Incomplete Primary",56
"SSP2","Zambia","2055-2060","35--39","Incomplete Primary",48
"SSP2","Zambia","2060-2065","35--39","Incomplete Primary",43
"SSP2","Zambia","2065-2070","35--39","Incomplete Primary",38
"SSP2","Zambia","2075-2080","35--39","Incomplete Primary",32
"SSP2","Zambia","2015-2020","40--44","Incomplete Primary",70
"SSP2","Zambia","2020-2025","40--44","Incomplete Primary",60
"SSP2","Zambia","2025-2030","40--44","Incomplete Primary",53
"SSP2","Zambia","2030-2035","40--44","Incomplete Primary",45
"SSP2","Zambia","2035-2040","40--44","Incomplete Primary",38
"SSP2","Zambia","2040-2045","40--44","Incomplete Primary",32
"SSP2","Zambia","2045-2050","40--44","Incomplete Primary",26
"SSP2","Zambia","2050-2055","40--44","Incomplete Primary",22
"SSP2","Zambia","2055-2060","40--44","Incomplete Primary",18
"SSP2","Zambia","2060-2065","40--44","Incomplete Primary",16
"SSP2","Zambia","2065-2070","40--44","Incomplete Primary",14
"SSP2","Zambia","2075-2080","40--44","Incomplete Primary",11
"SSP2","Zambia","2015-2020","45--49","Incomplete Primary",18
"SSP2","Zambia","2020-2025","45--49","Incomplete Primary",14
"SSP2","Zambia","2025-2030","45--49","Incomplete Primary",11
"SSP2","Zambia","2030-2035","45--49","Incomplete Primary",9
"SSP2","Zambia","2035-2040","45--49","Incomplete Primary",7
"SSP2","Zambia","2040-2045","45--49","Incomplete Primary",5
"SSP2","Zambia","2045-2050","45--49","Incomplete Primary",4
"SSP2","Zambia","2050-2055","45--49","Incomplete Primary",3
"SSP2","Zambia","2055-2060","45--49","Incomplete Primary",2
"SSP2","Zambia","2060-2065","45--49","Incomplete Primary",1
"SSP2","Zambia","2065-2070","45--49","Incomplete Primary",1
"SSP2","Zambia","2075-2080","45--49","Incomplete Primary",9
"SSP2","Zambia","2015-2020","15--19","Primary",109
"SSP2","Zambia","2020-2025","15--19","Primary",101
"SSP2","Zambia","2025-2030","15--19","Primary",92
"SSP2","Zambia","2030-2035","15--19","Primary",80
"SSP2","Zambia","2035-2040","15--19","Primary",69
"SSP2","Zambia","2040-2045","15--19","Primary",60
"SSP2","Zambia","2045-2050","15--19","Primary",51
"SSP2","Zambia","2050-2055","15--19","Primary",44
"SSP2","Zambia","2055-2060","15--19","Primary",39
"SSP2","Zambia","2060-2065","15--19","Primary",35
"SSP2","Zambia","2065-2070","15--19","Primary",31
"SSP2","Zambia","2075-2080","15--19","Primary",26
"SSP2","Zambia","2015-2020","20--24","Primary",305
"SSP2","Zambia","2020-2025","20--24","Primary",299
"SSP2","Zambia","2025-2030","20--24","Primary",306
"SSP2","Zambia","2030-2035","20--24","Primary",304
"SSP2","Zambia","2035-2040","20--24","Primary",291
"SSP2","Zambia","2040-2045","20--24","Primary",274
"SSP2","Zambia","2045-2050","20--24","Primary",256
"SSP2","Zambia","2050-2055","20--24","Primary",239
"SSP2","Zambia","2055-2060","20--24","Primary",223
"SSP2","Zambia","2060-2065","20--24","Primary",211
"SSP2","Zambia","2065-2070","20--24","Primary",201
"SSP2","Zambia","2075-2080","20--24","Primary",184
"SSP2","Zambia","2015-2020","25--29","Primary",279
"SSP2","Zambia","2020-2025","25--29","Primary",270
"SSP2","Zambia","2025-2030","25--29","Primary",268
"SSP2","Zambia","2030-2035","25--29","Primary",265
"SSP2","Zambia","2035-2040","25--29","Primary",250
"SSP2","Zambia","2040-2045","25--29","Primary",230
"SSP2","Zambia","2045-2050","25--29","Primary",211
"SSP2","Zambia","2050-2055","25--29","Primary",192
"SSP2","Zambia","2055-2060","25--29","Primary",177
"SSP2","Zambia","2060-2065","25--29","Primary",165
"SSP2","Zambia","2065-2070","25--29","Primary",156
"SSP2","Zambia","2075-2080","25--29","Primary",143
"SSP2","Zambia","2015-2020","30--34","Primary",195
"SSP2","Zambia","2020-2025","30--34","Primary",188
"SSP2","Zambia","2025-2030","30--34","Primary",180
