Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate"
"Number of births occurring to women in a particular age group during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Rate"
"SSP2","Zambia","2015-2020","15--19",85
"SSP2","Zambia","2020-2025","15--19",69
"SSP2","Zambia","2025-2030","15--19",56
"SSP2","Zambia","2030-2035","15--19",47
"SSP2","Zambia","2035-2040","15--19",38
"SSP2","Zambia","2040-2045","15--19",32
"SSP2","Zambia","2045-2050","15--19",26
"SSP2","Zambia","2050-2055","15--19",22
"SSP2","Zambia","2015-2020","20--24",256
"SSP2","Zambia","2020-2025","20--24",235
"SSP2","Zambia","2025-2030","20--24",221
"SSP2","Zambia","2030-2035","20--24",210
"SSP2","Zambia","2035-2040","20--24",195
"SSP2","Zambia","2040-2045","20--24",178
"SSP2","Zambia","2045-2050","20--24",162
"SSP2","Zambia","2050-2055","20--24",147
"SSP2","Zambia","2015-2020","25--29",257
"SSP2","Zambia","2020-2025","25--29",239
"SSP2","Zambia","2025-2030","25--29",226
"SSP2","Zambia","2030-2035","25--29",216
"SSP2","Zambia","2035-2040","25--29",209
"SSP2","Zambia","2040-2045","25--29",198
"SSP2","Zambia","2045-2050","25--29",185
"SSP2","Zambia","2050-2055","25--29",173
"SSP2","Zambia","2015-2020","30--34",192
"SSP2","Zambia","2020-2025","30--34",180
"SSP2","Zambia","2025-2030","30--34",163
"SSP2","Zambia","2030-2035","30--34",150
"SSP2","Zambia","2035-2040","30--34",135
"SSP2","Zambia","2040-2045","30--34",123
"SSP2","Zambia","2045-2050","30--34",112
"SSP2","Zambia","2050-2055","30--34",104
"SSP2","Zambia","2015-2020","35--39",132
"SSP2","Zambia","2020-2025","35--39",120
"SSP2","Zambia","2025-2030","35--39",106
"SSP2","Zambia","2030-2035","35--39",94
"SSP2","Zambia","2035-2040","35--39",81
"SSP2","Zambia","2040-2045","35--39",69
"SSP2","Zambia","2045-2050","35--39",61
"SSP2","Zambia","2050-2055","35--39",55
"SSP2","Zambia","2015-2020","40--44",62
"SSP2","Zambia","2020-2025","40--44",56
"SSP2","Zambia","2025-2030","40--44",50
"SSP2","Zambia","2030-2035","40--44",42
"SSP2","Zambia","2035-2040","40--44",35
"SSP2","Zambia","2040-2045","40--44",31
"SSP2","Zambia","2045-2050","40--44",26
"SSP2","Zambia","2050-2055","40--44",23
"SSP2","Zambia","2015-2020","45--49",16
"SSP2","Zambia","2020-2025","45--49",14
"SSP2","Zambia","2025-2030","45--49",11
"SSP2","Zambia","2030-2035","45--49",8
"SSP2","Zambia","2035-2040","45--49",7
"SSP2","Zambia","2040-2045","45--49",5
"SSP2","Zambia","2045-2050","45--49",4
"SSP2","Zambia","2050-2055","45--49",4
"SSP1","Zambia","2015-2020","15--19",69
"SSP1","Zambia","2020-2025","15--19",40
"SSP1","Zambia","2025-2030","15--19",27
"SSP1","Zambia","2030-2035","15--19",23
"SSP1","Zambia","2035-2040","15--19",19
"SSP1","Zambia","2040-2045","15--19",17
"SSP1","Zambia","2045-2050","15--19",14
"SSP1","Zambia","2050-2055","15--19",13
"SSP1","Zambia","2015-2020","20--24",211
"SSP1","Zambia","2020-2025","20--24",147
"SSP1","Zambia","2025-2030","20--24",112
"SSP1","Zambia","2030-2035","20--24",95
"SSP1","Zambia","2035-2040","20--24",84
"SSP1","Zambia","2040-2045","20--24",75
"SSP1","Zambia","2045-2050","20--24",67
"SSP1","Zambia","2050-2055","20--24",61
"SSP1","Zambia","2015-2020","25--29",226
"SSP1","Zambia","2020-2025","25--29",181
"SSP1","Zambia","2025-2030","25--29",151
"SSP1","Zambia","2030-2035","25--29",134
"SSP1","Zambia","2035-2040","25--29",130
"SSP1","Zambia","2040-2045","25--29",127
"SSP1","Zambia","2045-2050","25--29",121
"SSP1","Zambia","2050-2055","25--29",115
"SSP1","Zambia","2015-2020","30--34",176
"SSP1","Zambia","2020-2025","30--34",150
"SSP1","Zambia","2025-2030","30--34",124
"SSP1","Zambia","2030-2035","30--34",111
"SSP1","Zambia","2035-2040","30--34",104
