Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Educational Attainment Distribution"
"De facto population by level of educational attainment in a country or region, classified by sex and by five-year age groups. Available in all scenarios and at all geographical scales. Figures are expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Year","Age","Sex","Education","Distribution"
"SSP2","Zambia",2015,"15--19","Both","Under 15",0
"SSP2","Zambia",2020,"15--19","Both","Under 15",0
"SSP2","Zambia",2025,"15--19","Both","Under 15",0
"SSP2","Zambia",2030,"15--19","Both","Under 15",0
"SSP2","Zambia",2035,"15--19","Both","Under 15",0
"SSP2","Zambia",2040,"15--19","Both","Under 15",0
"SSP2","Zambia",2045,"15--19","Both","Under 15",0
"SSP2","Zambia",2050,"15--19","Both","Under 15",0
"SSP2","Zambia",2055,"15--19","Both","Under 15",0
"SSP2","Zambia",2060,"15--19","Both","Under 15",0
"SSP2","Zambia",2065,"15--19","Both","Under 15",0
"SSP2","Zambia",2070,"15--19","Both","Under 15",0
"SSP2","Zambia",2075,"15--19","Both","Under 15",0
"SSP2","Zambia",2015,"20--24","Both","Under 15",0
"SSP2","Zambia",2020,"20--24","Both","Under 15",0
"SSP2","Zambia",2025,"20--24","Both","Under 15",0
"SSP2","Zambia",2030,"20--24","Both","Under 15",0
"SSP2","Zambia",2035,"20--24","Both","Under 15",0
"SSP2","Zambia",2040,"20--24","Both","Under 15",0
"SSP2","Zambia",2045,"20--24","Both","Under 15",0
"SSP2","Zambia",2050,"20--24","Both","Under 15",0
"SSP2","Zambia",2055,"20--24","Both","Under 15",0
"SSP2","Zambia",2060,"20--24","Both","Under 15",0
"SSP2","Zambia",2065,"20--24","Both","Under 15",0
"SSP2","Zambia",2070,"20--24","Both","Under 15",0
"SSP2","Zambia",2075,"20--24","Both","Under 15",0
"SSP2","Zambia",2015,"25--29","Both","Under 15",0
