Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Life Expectancy at Birth"
"The number of years a newborn is expected to live. Available in all scenarios and at all geographical scales. It is expressed in years. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Multiple Scenarios"
" "
"Scenario","Area","Period","Sex","Years"
"SSP2","Zambia","2015-2020","Male",59.6
"SSP2","Zambia","2020-2025","Male",60.3
"SSP2","Zambia","2025-2030","Male",61
"SSP2","Zambia","2030-2035","Male",61.7
"SSP2","Zambia","2035-2040","Male",62.4
"SSP2","Zambia","2040-2045","Male",63.1
"SSP2","Zambia","2045-2050","Male",63.9
"SSP2","Zambia","2050-2055","Male",64.6
"SSP2","Zambia","2055-2060","Male",65.3
"SSP2","Zambia","2060-2065","Male",66
"SSP2","Zambia","2065-2070","Male",66.7
"SSP2","Zambia","2070-2075","Male",67.5
"SSP2","Zambia","2015-2020","Female",65
"SSP2","Zambia","2020-2025","Female",65.7
"SSP2","Zambia","2025-2030","Female",66.3
"SSP2","Zambia","2030-2035","Female",67
"SSP2","Zambia","2035-2040","Female",67.6
"SSP2","Zambia","2040-2045","Female",68.2
"SSP2","Zambia","2045-2050","Female",68.9
"SSP2","Zambia","2050-2055","Female",69.5
"SSP2","Zambia","2055-2060","Female",70.1
"SSP2","Zambia","2060-2065","Female",70.8
"SSP2","Zambia","2065-2070","Female",71.4
"SSP2","Zambia","2070-2075","Female",72
"SSP1","Zambia","2015-2020","Male",60.2
"SSP1","Zambia","2020-2025","Male",61.8
"SSP1","Zambia","2025-2030","Male",63.4
"SSP1","Zambia","2030-2035","Male",64.9
"SSP1","Zambia","2035-2040","Male",66.4
"SSP1","Zambia","2040-2045","Male",67.7
"SSP1","Zambia","2045-2050","Male",69
"SSP1","Zambia","2050-2055","Male",70.2
"SSP1","Zambia","2055-2060","Male",71.4
"SSP1","Zambia","2060-2065","Male",72.6
"SSP1","Zambia","2065-2070","Male",73.7
"SSP1","Zambia","2070-2075","Male",74.9
"SSP1","Zambia","2015-2020","Female",65.6
"SSP1","Zambia","2020-2025","Female",67.1
"SSP1","Zambia","2025-2030","Female",68.5
"SSP1","Zambia","2030-2035","Female",69.9
"SSP1","Zambia","2035-2040","Female",71.1
"SSP1","Zambia","2040-2045","Female",72.3
"SSP1","Zambia","2045-2050","Female",73.5
"SSP1","Zambia","2050-2055","Female",74.6
"SSP1","Zambia","2055-2060","Female",75.7
"SSP1","Zambia","2060-2065","Female",76.8
"SSP1","Zambia","2065-2070","Female",78
"SSP1","Zambia","2070-2075","Female",79.1
"SSP3","Zambia","2015-2020","Male",59
"SSP3","Zambia","2020-2025","Male",59.1
"SSP3","Zambia","2025-2030","Male",59.1
"SSP3","Zambia","2030-2035","Male",59.2
"SSP3","Zambia","2035-2040","Male",59.2
"SSP3","Zambia","2040-2045","Male",59.1
"SSP3","Zambia","2045-2050","Male",59.1
"SSP3","Zambia","2050-2055","Male",59
"SSP3","Zambia","2055-2060","Male",59
"SSP3","Zambia","2060-2065","Male",58.9
"SSP3","Zambia","2065-2070","Male",58.9
"SSP3","Zambia","2070-2075","Male",58.8
"SSP3","Zambia","2015-2020","Female",64.5
"SSP3","Zambia","2020-2025","Female",64.5
"SSP3","Zambia","2025-2030","Female",64.5
"SSP3","Zambia","2030-2035","Female",64.5
"SSP3","Zambia","2035-2040","Female",64.4
"SSP3","Zambia","2040-2045","Female",64.3
"SSP3","Zambia","2045-2050","Female",64.2
"SSP3","Zambia","2050-2055","Female",64.1
"SSP3","Zambia","2055-2060","Female",64
"SSP3","Zambia","2060-2065","Female",63.9
"SSP3","Zambia","2065-2070","Female",63.8
"SSP3","Zambia","2070-2075","Female",63.7
