Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Survival Ratio by Education"
"Survivorship of population in a particular education group and by five-year age group. Available by level of educational attainment, in all scenarios, and at all geographical scales. It is expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Sex","Education","Ratio"
"SSP2","Zambia","2015-2020","Newborn","Male","No Education",92.9
"SSP2","Zambia","2020-2025","Newborn","Male","No Education",94
"SSP2","Zambia","2025-2030","Newborn","Male","No Education",94.2
"SSP2","Zambia","2030-2035","Newborn","Male","No Education",94.3
"SSP2","Zambia","2035-2040","Newborn","Male","No Education",94.5
"SSP2","Zambia","2040-2045","Newborn","Male","No Education",94.7
"SSP2","Zambia","2045-2050","Newborn","Male","No Education",94.9
"SSP2","Zambia","2050-2055","Newborn","Male","No Education",95.1
"SSP2","Zambia","2055-2060","Newborn","Male","No Education",95.3
"SSP2","Zambia","2060-2065","Newborn","Male","No Education",93.2
"SSP2","Zambia","2065-2070","Newborn","Male","No Education",93.4
"SSP2","Zambia","2070-2075","Newborn","Male","No Education",93.5
"SSP2","Zambia","2015-2020","0--4","Male","No Education",98
"SSP2","Zambia","2020-2025","0--4","Male","No Education",98.5
"SSP2","Zambia","2025-2030","0--4","Male","No Education",98.6
"SSP2","Zambia","2030-2035","0--4","Male","No Education",98.7
"SSP2","Zambia","2035-2040","0--4","Male","No Education",98.7
"SSP2","Zambia","2040-2045","0--4","Male","No Education",98.8
"SSP2","Zambia","2045-2050","0--4","Male","No Education",98.9
"SSP2","Zambia","2050-2055","0--4","Male","No Education",98.9
"SSP2","Zambia","2055-2060","0--4","Male","No Education",99
"SSP2","Zambia","2060-2065","0--4","Male","No Education",97.9
"SSP2","Zambia","2065-2070","0--4","Male","No Education",98
"SSP2","Zambia","2070-2075","0--4","Male","No Education",98.1
"SSP2","Zambia","2015-2020","5--9","Male","No Education",99
"SSP2","Zambia","2020-2025","5--9","Male","No Education",99.2
