"rururb","el_access","edu_head","main_dev_cook","main_en_cook","cap_GJ_Electricity"
"Urban","No","Grade 12","BRICK/STONE STAND ON OPEN FIRE","CHARCOAL OWN PRODUCED",2.41858410835266
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",3.38601756095886
"Rural","No","Grade 4","BRAZIER (MBAULA)","CHARCOAL PURCHASED",2.35809683799744
"Rural","No","Grade 7","BRICK/STONE STAND ON OPEN FIRE","COLLECTED FIREWOOD",1.6122978925705
"Urban","No","Diploma","BRAZIER (MBAULA)","CHARCOAL PURCHASED",3.62662243843079
"Urban","No","Degree","BRAZIER (MBAULA)","CHARCOAL PURCHASED",10.8810834884644
"Urban","No","Certificate","BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.61234962940216
"Urban","No","Grade 7","BRAZIER (MBAULA)","CHARCOAL PURCHASED",5.27678680419922
"Rural","No","Diploma","STOVE/COOKER","ELECTRICITY",7.97856330871582
"Urban","No","Grade 9","BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.20934474468231
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",7.25565385818481
"Urban","No","Diploma","STOVE/COOKER","ELECTRICITY",5.44174194335938
"Rural","No","Grade 11","STOVE/COOKER","ELECTRICITY",5.44190549850464
"Rural","No","Certificate","STOVE/COOKER","ELECTRICITY",4.85640382766724
"Urban","No","Grade 7","BRAZIER (MBAULA)","CHARCOAL PURCHASED",9.67443370819092
"Urban","No","Diploma","STOVE/COOKER","ELECTRICITY",5.80472421646118
"Urban","No","Grade 12","BRICK/STONE STAND ON OPEN FIRE","COLLECTED FIREWOOD",7.25606918334961
"Urban","No","Degree","BRAZIER (MBAULA)","CHARCOAL PURCHASED",4.35589408874512
"Urban","No",NA,"BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.81452107429504
"Urban","No","Certificate","STOVE/COOKER","ELECTRICITY",6.21906232833862
"Urban","No","Certificate","STOVE/COOKER","ELECTRICITY",3.1096203327179
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",3.62991166114807
"Rural","No","Degree","BRAZIER (MBAULA)","ELECTRICITY",7.25590944290161
"Rural","No","Grade 7","BRICK/STONE STAND ON OPEN FIRE","COLLECTED FIREWOOD",11.0650672912598
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.81388056278229
"Urban","No","Grade 12","STOVE/COOKER","ELECTRICITY",4.35343599319458
"Urban","No","Grade 12","STOVE/COOKER","ELECTRICITY",1.45115041732788
"Rural","No","Grade 4","BRICK/STONE STAND ON OPEN FIRE","ELECTRICITY",2.25730919837952
"Rural","No","Degree","METAL STAND ON  OPEN FIRE","COLLECTED FIREWOOD",51.5942306518555
"Urban","No","Diploma","STOVE/COOKER","ELECTRICITY",7.07423734664917
"Urban","No","Grade 7","STOVE/COOKER","CHARCOAL PURCHASED",1.81388056278229
"Urban","No","Certificate","STOVE/COOKER","ELECTRICITY",4.35334396362305
"Urban","No","Certificate","STOVE/COOKER","ELECTRICITY",3.62776112556458
"Urban","No","Diploma","BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.45122253894806
"Urban","No","Diploma","ELECTRICITY","ELECTRICITY",2.41936135292053
"Urban","No","Grade 11","BRAZIER (MBAULA)","CHARCOAL PURCHASED",2.9213387966156
"Urban","No","Degree","STOVE/COOKER","ELECTRICITY",6.34909868240356
"Urban","No","Grade 11","BRAZIER (MBAULA)","CHARCOAL PURCHASED",2.81763672828674
"Urban","No","Grade 10","BRAZIER (MBAULA)","CHARCOAL PURCHASED",4.35293817520142
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",7.25557327270508
"Urban","No","Degree","BRAZIER (MBAULA)","CHARCOAL PURCHASED",2.41774821281433
"Rural","No","Grade 7","STOVE/COOKER","ELECTRICITY",3.62791919708252
"Urban","No","Degree","STOVE/COOKER","ELECTRICITY",5.18254327774048
"Urban","No","Diploma","BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.61234962940216
"Urban","No","Diploma","STOVE/COOKER","ELECTRICITY",7.25560092926025
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",1.03651463985443
"Urban","No","Grade 7","BRAZIER (MBAULA)","CHARCOAL PURCHASED",4.8367018699646
"Urban","No","Grade 7","ELECTRICITY","ELECTRICITY",1.9348269701004
"Urban","No","Grade 12","BRAZIER (MBAULA)","CHARCOAL PURCHASED",4.83737897872925
"Urban","No","Grade 7","BRAZIER (MBAULA)","CHARCOAL PURCHASED",9.67427730560303
"Urban","No","Certificate","STOVE/COOKER","ELECTRICITY",8.79123783111572
"Rural","No","Grade 10","BRAZIER (MBAULA)","CHARCOAL PURCHASED",0.906988680362701
"Urban","No","Certificate","STOVE/COOKER","ELECTRICITY",5.80452013015747
